start,end,score,VarName4
00:36:23,00:36:27,0.004,Noise
00:36:28,00:36:32,0.004,Noise
00:36:34,00:36:38,0.004,Noise
00:36:40,00:36:44,0.004,Noise
00:36:45,00:36:49,0.004,Noise
00:36:51,00:36:55,0.004,Noise
00:36:57,00:37:01,0.004,Noise
00:37:02,00:37:06,0.004,Noise
00:37:08,00:37:12,0.004,Noise
00:37:13,00:37:17,0.004,Noise
00:37:19,00:37:23,0.258,Noise
00:37:25,00:37:29,0.109,Noise
00:37:30,00:37:34,0.531,Noise
00:37:36,00:37:40,0.172,Noise
00:37:42,00:37:46,0.078,Noise
00:37:47,00:37:51,0.566,Noise
00:37:53,00:37:57,0.688,Noise
00:37:58,00:38:03,0.434,Noise
00:38:04,00:38:08,0.566,Noise
00:38:10,00:38:14,0.258,Noise
00:38:15,00:38:19,0.008,Noise
00:38:21,00:38:25,0.035,Noise
00:38:27,00:38:31,0.152,Noise
00:38:32,00:38:36,0.191,Noise
00:38:38,00:38:42,0,Noise
00:38:44,00:38:48,0.234,Noise
00:38:49,00:38:53,0.078,Noise
00:38:55,00:38:59,0.109,Noise
00:39:00,00:39:04,0.191,Noise
00:39:06,00:39:10,0.191,Noise
00:39:12,00:39:16,0.531,Noise
00:39:17,00:39:21,0.004,Noise
00:39:23,00:39:27,0.004,Noise
00:39:29,00:39:33,0.004,Noise
00:39:34,00:39:38,0.004,Noise
00:39:40,00:39:44,0.004,Noise
00:39:45,00:39:50,0.004,Noise
00:39:51,00:39:55,0.004,Noise
00:39:57,00:40:01,0.004,Noise
00:40:02,00:40:06,0.004,Noise
00:40:08,00:40:12,0.004,Noise
00:40:14,00:40:18,0.172,Noise
00:40:19,00:40:23,0.98,MNT
00:40:25,00:40:29,0.863,MNT
00:40:31,00:40:35,0.789,MNT
00:40:36,00:40:40,0.988,MNT
00:40:42,00:40:46,0.996,MNT
00:40:47,00:40:51,0.992,MNT
00:40:53,00:40:57,0.973,MNT
00:40:59,00:41:03,0.945,MNT
00:41:04,00:41:08,0.977,MNT
00:41:10,00:41:14,0.953,MNT
00:41:16,00:41:20,0.977,MNT
00:41:21,00:41:25,0.969,MNT
00:41:27,00:41:31,0.789,MNT
00:41:32,00:41:37,0.984,MNT
00:41:38,00:41:42,0.629,MNT
00:41:44,00:41:48,0.809,MNT
00:41:49,00:41:53,0.977,MNT
00:41:55,00:41:59,0.973,MNT
00:42:01,00:42:05,0.977,MNT
00:42:06,00:42:10,0.914,MNT
00:42:12,00:42:16,0.973,MNT
00:42:18,00:42:22,0.996,MNT
00:42:23,00:42:27,0.984,MNT
00:42:29,00:42:33,0.992,MNT
00:42:34,00:42:38,0.879,MNT
00:42:40,00:42:44,0.996,MNT
00:42:46,00:42:50,0.996,MNT
00:42:51,00:42:55,0.789,MNT
00:42:57,00:43:01,0.945,MNT
00:43:03,00:43:07,0.996,MNT
00:43:08,00:43:12,0.988,MNT
00:43:14,00:43:18,0.984,MNT
00:43:19,00:43:24,0.914,MNT
00:43:25,00:43:29,0.973,MNT
00:43:31,00:43:35,0.941,MNT
00:43:36,00:43:40,0.934,MNT
00:43:42,00:43:46,0.996,MNT
00:43:48,00:43:52,0.996,MNT
00:43:53,00:43:57,0.977,MNT
00:43:59,00:44:03,0.879,MNT
00:44:05,00:44:09,0.996,MNT
00:44:10,00:44:14,0.879,MNT
00:44:16,00:44:20,0.004,Noise
00:44:21,00:44:26,0.004,Noise
00:44:27,00:44:31,0.004,Noise
00:44:33,00:44:37,0.004,Noise
00:44:38,00:44:42,0.004,Noise
00:44:44,00:44:48,0.004,Noise
00:44:50,00:44:54,0.004,Noise
00:44:55,00:44:59,0.004,Noise
00:45:01,00:45:05,0.004,Noise
00:45:06,00:45:11,0.004,Noise
00:45:12,00:45:16,0.004,Noise
00:45:18,00:45:22,0.004,Noise
00:45:23,00:45:27,0.004,Noise
00:45:29,00:45:33,0.004,Noise
00:45:35,00:45:39,0.004,Noise
00:45:40,00:45:44,0.004,Noise
00:45:46,00:45:50,0.004,Noise
00:45:52,00:45:56,0.004,Noise
00:45:57,00:46:01,0.004,Noise
00:46:03,00:46:07,0.004,Noise
00:46:08,00:46:13,0.004,Noise
00:46:14,00:46:18,0.004,Noise
00:46:20,00:46:24,0.234,ENT
00:46:25,00:46:29,0.969,ENT
00:46:31,00:46:35,0.922,ENT
00:46:37,00:46:41,0.344,ENT
00:46:42,00:46:46,0.863,ENT
00:46:48,00:46:52,0.742,ENT
00:46:54,00:46:58,0.996,ENT
00:46:59,00:47:03,0.629,ENT
00:47:05,00:47:09,0.629,ENT
00:47:10,00:47:14,0.789,ENT
00:47:16,00:47:20,0.656,ENT
00:47:22,00:47:26,0.258,ENT
00:47:27,00:47:31,0.629,ENT
00:47:33,00:47:37,0.531,ENT
00:47:39,00:47:43,0.312,ENT
00:47:44,00:47:48,0.629,ENT
00:47:50,00:47:54,0.566,ENT
00:47:55,00:48:00,0.434,ENT
00:48:01,00:48:05,0.742,ENT
00:48:07,00:48:11,0.953,ENT
00:48:12,00:48:16,0.086,ENT
00:48:18,00:48:22,0.004,ENT
00:48:24,00:48:28,0.004,ENT
00:48:29,00:48:33,0.023,ENT
00:48:35,00:48:39,0.469,ENT
00:48:41,00:48:45,0.004,ENT
00:48:46,00:48:50,0.004,ENT
00:48:52,00:48:56,0.008,ENT
00:48:57,00:49:01,0.004,ENT
00:49:03,00:49:07,0.004,ENT
00:49:09,00:49:13,0.004,ENT
00:49:14,00:49:18,0.008,ENT
00:49:20,00:49:24,0.016,ENT
00:49:26,00:49:30,0.043,ENT
00:49:31,00:49:35,0.004,ENT
00:49:37,00:49:41,0.008,ENT
00:49:42,00:49:47,0.004,ENT
00:49:48,00:49:52,0.004,ENT
00:49:54,00:49:58,0.004,ENT
00:49:59,00:50:03,0.004,ENT
00:50:05,00:50:09,0.004,ENT
00:50:11,00:50:15,0.004,ENT
00:50:16,00:50:20,0.004,Noise
00:50:22,00:50:26,0.004,Noise
00:50:28,00:50:32,0.004,Noise
00:50:33,00:50:37,0.004,Noise
00:50:39,00:50:43,0.004,Noise
00:50:44,00:50:48,0.004,Noise
00:50:50,00:50:54,0.004,Noise
00:50:56,00:51:00,0.004,Noise
00:51:01,00:51:05,0.004,Noise
00:51:07,00:51:11,0.004,Noise
00:51:13,00:51:17,0.004,Noise
00:51:18,00:51:22,0.004,Noise
00:51:24,00:51:28,0.004,Noise
00:51:29,00:51:34,0.004,Noise
00:51:35,00:51:39,0.004,Noise
00:51:41,00:51:45,0.004,Noise
00:51:46,00:51:50,0.004,Noise
00:51:52,00:51:56,0.004,Noise
00:51:58,00:52:02,0.004,Noise
00:52:03,00:52:07,0.004,Noise
00:52:09,00:52:13,0.004,Noise
00:52:15,00:52:19,0.004,Noise
00:52:20,00:52:24,0.004,Noise
00:52:26,00:52:30,0.012,Noise
00:52:31,00:52:35,0.078,Noise
00:52:37,00:52:41,0.043,Noise
00:52:43,00:52:47,0.008,Noise
00:52:48,00:52:52,0.004,Noise
00:52:54,00:52:58,0.004,Noise
00:53:00,00:53:04,0.004,Noise
00:53:05,00:53:09,0.086,Noise
00:53:11,00:53:15,0.234,Noise
00:53:16,00:53:21,0.004,Noise
00:53:22,00:53:26,0.004,Noise
00:53:28,00:53:32,0.004,Noise
00:53:33,00:53:37,0.004,Noise
00:53:39,00:53:43,0.004,Noise
00:53:45,00:53:49,0.004,Noise
00:53:50,00:53:54,0.004,Noise
00:53:56,00:54:00,0.004,Noise
00:54:02,00:54:06,0.004,Noise
00:54:07,00:54:11,0.004,Noise
00:54:13,00:54:17,0.004,Noise
00:54:18,00:54:23,0.914,ENT
