start,end,score
00:17:26,00:17:28,0.699,Noise
00:17:29,00:17:31,0.887,Noise
00:17:32,00:17:34,0.441,Noise
00:17:35,00:17:37,0.004,Noise
00:17:38,00:17:40,0.004,Noise
00:17:41,00:17:43,0.004,Noise
00:17:44,00:17:46,0.004,Noise
00:17:47,00:17:49,0.004,Noise
00:17:50,00:17:52,0.004,Noise
00:17:53,00:17:55,0.004,Noise
00:17:56,00:17:58,0.004,Noise
00:17:59,00:18:01,0.004,Noise
00:18:02,00:18:04,0.004,Noise
00:18:05,00:18:07,0.004,Noise
00:18:09,00:18:11,0.004,Noise
00:18:12,00:18:14,0.004,Noise
00:18:15,00:18:17,0.004,LNT
00:18:18,00:18:20,0.918,LNT
00:18:21,00:18:23,0.887,LNT
00:18:24,00:18:26,0.961,LNT
00:18:27,00:18:29,0.996,LNT
00:18:30,00:18:32,0.906,LNT
00:18:33,00:18:35,0.996,LNT
00:18:36,00:18:38,0.984,LNT
00:18:39,00:18:41,0.809,LNT
00:18:42,00:18:44,0.988,LNT
00:18:45,00:18:47,0.926,LNT
00:18:48,00:18:50,0.98,LNT
00:18:52,00:18:54,0.918,LNT
00:18:55,00:18:57,0.945,LNT
00:18:58,00:19:00,0.559,LNT
00:19:01,00:19:03,0.992,LNT
00:19:04,00:19:06,0.441,LNT
00:19:07,00:19:09,0.945,LNT
00:19:10,00:19:12,0.961,LNT
00:19:13,00:19:15,0.973,LNT
00:19:16,00:19:18,0.887,LNT
00:19:19,00:19:21,0.859,LNT
00:19:22,00:19:24,0.969,LNT
00:19:25,00:19:27,0.871,LNT
00:19:28,00:19:30,0,LNT
00:19:31,00:19:33,0.945,LNT
00:19:35,00:19:37,0.723,LNT
00:19:38,00:19:40,0.996,LNT
00:19:41,00:19:43,0.988,LNT
00:19:44,00:19:46,0.988,LNT
00:19:47,00:19:49,0.969,LNT
00:19:50,00:19:52,0.996,LNT
00:19:53,00:19:55,0.996,LNT
00:19:56,00:19:58,0.934,LNT
00:19:59,00:20:01,0.996,LNT
00:20:02,00:20:04,0.969,LNT
00:20:05,00:20:07,0.992,LNT
00:20:08,00:20:10,0.992,LNT
00:20:11,00:20:13,0.859,LNT
00:20:14,00:20:16,0.844,LNT
00:20:18,00:20:20,0.004,Noise
00:20:21,00:20:23,0.008,Noise
00:20:24,00:20:26,0.008,Noise
00:20:27,00:20:29,0.008,Noise
00:20:30,00:20:32,0.008,Noise
00:20:33,00:20:35,0.004,Noise
00:20:36,00:20:38,0.012,Noise
00:20:39,00:20:41,0.004,Noise
00:20:42,00:20:44,0.004,Noise
00:20:45,00:20:47,0.004,Noise
00:20:48,00:20:50,0.012,Noise
00:20:51,00:20:53,0.008,Noise
00:20:54,00:20:56,0.008,Noise
00:20:57,00:21:00,0.016,Noise
00:21:01,00:21:03,0.008,Noise
00:21:04,00:21:06,0.004,Noise
00:21:07,00:21:09,0.008,Noise
00:21:10,00:21:12,0.008,Noise
00:21:13,00:21:15,0.008,Noise
00:21:16,00:21:18,0.004,Noise
00:21:19,00:21:21,0.004,Noise
00:21:22,00:21:24,0.004,Noise
00:21:25,00:21:27,0.004,Noise
00:21:28,00:21:30,0.004,Noise
00:21:31,00:21:33,0.004,Noise
00:21:34,00:21:36,0.004,Noise
00:21:37,00:21:39,0.004,Noise
00:21:41,00:21:43,0.004,Noise
00:21:44,00:21:46,0.004,Noise
00:21:47,00:21:49,0.004,Noise
00:21:50,00:21:52,0.004,Noise
00:21:53,00:21:55,0.004,Noise
00:21:56,00:21:58,0.004,Noise
00:21:59,00:22:01,0.004,Noise
00:22:02,00:22:04,0.004,Noise
00:22:05,00:22:07,0.004,Noise
00:22:08,00:22:10,0.004,Noise
00:22:11,00:22:13,0.004,Noise
00:22:14,00:22:16,0.004,Noise
00:22:17,00:22:19,0.055,Noise
00:22:20,00:22:22,0.012,Noise
00:22:24,00:22:26,0.004,Noise
00:22:27,00:22:29,0.066,Noise
00:22:30,00:22:32,0.066,Noise
00:22:33,00:22:35,0.082,Noise
00:22:36,00:22:38,0.055,Noise
00:22:39,00:22:41,0.039,Noise
00:22:42,00:22:44,0.055,Noise
00:22:45,00:22:47,0.043,Noise
00:22:48,00:22:50,0.004,Noise
00:22:51,00:22:53,0.004,Noise
00:22:54,00:22:56,0.016,Noise
00:22:57,00:22:59,0.02,Noise
00:23:00,00:23:02,0.094,Noise
00:23:03,00:23:05,0.074,Noise
00:23:07,00:23:09,0.055,Noise
00:23:10,00:23:12,0.043,Noise
00:23:13,00:23:15,0.035,Noise
00:23:16,00:23:18,0.074,Noise
00:23:19,00:23:21,0.043,Noise
00:23:22,00:23:24,0.012,Noise
00:23:25,00:23:27,0.047,Noise
00:23:28,00:23:30,0.074,Noise
00:23:31,00:23:33,0.02,Noise
00:23:34,00:23:36,0.02,Noise
00:23:37,00:23:39,0.039,Noise
00:23:40,00:23:42,0.004,Noise
00:23:43,00:23:45,0.047,Noise
00:23:46,00:23:48,0.043,Noise
00:23:50,00:23:52,0.066,Noise
00:23:53,00:23:55,0.066,Noise
00:23:56,00:23:58,0.066,Noise
00:23:59,00:24:01,0.047,Noise
00:24:02,00:24:04,0.035,Noise
00:24:05,00:24:07,0.039,Noise
00:24:08,00:24:10,0.027,Noise
00:24:11,00:24:13,0.043,Noise
00:24:14,00:24:16,0.094,Noise
00:24:17,00:24:19,0.809,LNT
00:24:20,00:24:22,0.969,LNT
00:24:23,00:24:25,0.59,LNT
00:24:26,00:24:28,0.969,LNT
00:24:29,00:24:31,0.996,LNT
00:24:33,00:24:35,0.996,LNT
00:24:36,00:24:38,0.859,LNT
00:24:39,00:24:41,0.996,LNT
00:24:42,00:24:44,0.965,LNT
00:24:45,00:24:47,0.996,LNT
00:24:48,00:24:50,0.996,LNT
00:24:51,00:24:53,0.988,LNT
00:24:54,00:24:56,0.969,LNT
00:24:57,00:24:59,0.988,LNT
00:25:00,00:25:02,0.996,LNT
00:25:03,00:25:05,0.977,LNT
00:25:06,00:25:08,0.984,LNT
00:25:09,00:25:11,0.98,LNT
00:25:12,00:25:14,0.992,LNT
00:25:16,00:25:18,0.871,LNT
00:25:19,00:25:21,0.027,LNT
00:25:22,00:25:24,0.441,LNT
00:25:25,00:25:27,0.004,LNT
00:25:28,00:25:30,0.059,LNT
00:25:31,00:25:33,0.094,LNT
00:25:34,00:25:36,0.699,LNT
00:25:37,00:25:39,0.008,LNT
00:25:40,00:25:42,0.027,LNT
00:25:43,00:25:45,0.355,LNT
00:25:46,00:25:48,0.016,LNT
00:25:49,00:25:51,0.066,LNT
00:25:52,00:25:54,0.469,LNT
00:25:55,00:25:57,0.77,LNT
00:25:59,00:26:01,0.969,LNT
00:26:02,00:26:04,0.004,LNT
00:26:05,00:26:07,0.016,LNT
00:26:08,00:26:10,0.043,LNT
00:26:11,00:26:13,0.004,LNT
00:26:14,00:26:16,0.211,LNT
00:26:17,00:26:19,0.973,MNT
00:26:20,00:26:22,0.984,MNT
00:26:23,00:26:25,0.965,MNT
00:26:26,00:26:28,0.887,MNT
00:26:29,00:26:31,0.961,MNT
00:26:32,00:26:34,0.988,MNT
00:26:35,00:26:37,0.965,MNT
00:26:38,00:26:40,0.988,MNT
00:26:42,00:26:44,0.844,MNT
00:26:45,00:26:47,0.996,MNT
00:26:48,00:26:50,0.961,MNT
00:26:51,00:26:53,0.977,MNT
00:26:54,00:26:56,0.945,MNT
00:26:57,00:26:59,0.984,MNT
00:27:00,00:27:02,0.898,MNT
00:27:03,00:27:05,0.746,MNT
00:27:06,00:27:08,0.973,MNT
00:27:09,00:27:11,0.996,MNT
00:27:12,00:27:14,0.973,MNT
00:27:15,00:27:17,0.965,MNT
00:27:18,00:27:20,0.887,MNT
00:27:21,00:27:24,0.918,MNT
00:27:25,00:27:27,0.844,MNT
00:27:28,00:27:30,0.965,MNT
00:27:31,00:27:33,0.887,MNT
00:27:34,00:27:36,0.992,MNT
00:27:37,00:27:39,0.41,MNT
00:27:40,00:27:42,0.898,MNT
00:27:43,00:27:45,0.723,MNT
00:27:46,00:27:48,0.77,MNT
00:27:49,00:27:51,0.973,MNT
00:27:52,00:27:54,0.789,MNT
00:27:55,00:27:57,0.934,MNT
00:27:58,00:28:00,0.957,MNT
00:28:01,00:28:03,0.77,MNT
