start,end,score
00:37:55,00:37:57,0.336,Noise
00:37:58,00:38:00,0.664,Noise
00:38:02,00:38:04,0.664,Noise
00:38:06,00:38:08,0.613,Noise
00:38:09,00:38:11,0.203,Noise
00:38:13,00:38:15,0.074,Noise
00:38:16,00:38:18,0.031,Noise
00:38:20,00:38:22,0.004,Noise
00:38:24,00:38:25,0.004,Noise
00:38:27,00:38:29,0.012,Noise
00:38:31,00:38:33,0.02,Noise
00:38:34,00:38:36,0.047,Noise
00:38:38,00:38:40,0.059,Noise
00:38:41,00:38:43,0.023,Noise
00:38:45,00:38:47,0.023,Noise
00:38:49,00:38:51,0.008,Noise
00:38:52,00:38:54,0.004,Noise
00:38:56,00:38:58,0.012,Noise
00:38:59,00:39:01,0.074,Noise
00:39:03,00:39:05,0.023,Noise
00:39:07,00:39:08,0.039,Noise
00:39:10,00:39:12,0.074,Noise
00:39:14,00:39:16,0.023,Noise
00:39:17,00:39:19,0.004,Noise
00:39:21,00:39:23,0.004,Noise
00:39:24,00:39:26,0.004,Noise
00:39:28,00:39:30,0.004,Noise
00:39:32,00:39:34,0.004,Noise
00:39:35,00:39:37,0.004,Noise
00:39:39,00:39:41,0.004,Noise
00:39:42,00:39:44,0.004,Noise
00:39:46,00:39:48,0.004,Noise
00:39:50,00:39:52,0.004,Noise
00:39:53,00:39:55,0.004,Noise
00:39:57,00:39:59,0.004,Noise
00:40:00,00:40:02,0.004,Noise
00:40:04,00:40:06,0.004,Noise
00:40:07,00:40:09,0.004,Noise
00:40:11,00:40:13,0.004,Noise
00:40:15,00:40:17,0.664,MNT
00:40:18,00:40:20,0.996,MNT
00:40:22,00:40:24,0.996,MNT
00:40:25,00:40:27,0.996,MNT
00:40:29,00:40:31,0.996,MNT
00:40:33,00:40:35,0.758,MNT
00:40:36,00:40:38,0.988,MNT
00:40:40,00:40:42,0.996,MNT
00:40:43,00:40:45,0.969,MNT
00:40:47,00:40:49,0.996,MNT
00:40:50,00:40:52,0.996,MNT
00:40:54,00:40:56,0.996,MNT
00:40:58,00:41:00,0.996,MNT
00:41:01,00:41:03,0.996,MNT
00:41:05,00:41:07,0.996,MNT
00:41:08,00:41:10,0.988,MNT
00:41:12,00:41:14,0.996,MNT
00:41:16,00:41:18,0.996,MNT
00:41:19,00:41:21,0.996,MNT
00:41:23,00:41:25,0.996,MNT
00:41:26,00:41:28,0.996,MNT
00:41:30,00:41:32,0.992,MNT
00:41:33,00:41:35,0.996,MNT
00:41:37,00:41:39,0.98,MNT
00:41:41,00:41:43,0.996,MNT
