start,end,score
00:26:15,00:26:17,0.676,MNT
00:26:18,00:26:20,0.934,MNT
00:26:21,00:26:23,0.961,MNT
00:26:25,00:26:27,0.945,MNT
00:26:28,00:26:30,0.988,MNT
00:26:31,00:26:33,0.996,MNT
00:26:35,00:26:37,0.984,MNT
00:26:38,00:26:40,0.934,MNT
00:26:41,00:26:43,0.996,MNT
00:26:45,00:26:47,0.996,MNT
00:26:48,00:26:50,0.996,MNT
00:26:51,00:26:53,0.996,MNT
00:26:55,00:26:57,0.812,MNT
00:26:58,00:27:00,0.871,MNT
00:27:01,00:27:03,0.984,MNT
00:27:05,00:27:07,0.996,MNT
00:27:08,00:27:10,0.848,MNT
00:27:11,00:27:13,0.898,MNT
00:27:15,00:27:17,0.934,MNT
00:27:18,00:27:20,0.879,MNT
00:27:21,00:27:23,0.988,MNT
00:27:25,00:27:27,0.617,MNT
00:27:28,00:27:30,0.77,MNT
00:27:31,00:27:33,0.988,MNT
00:27:35,00:27:37,0.992,MNT
00:27:38,00:27:40,0.977,MNT
00:27:41,00:27:43,0.266,MNT
00:27:45,00:27:47,0.988,MNT
00:27:48,00:27:50,0.562,MNT
00:27:51,00:27:53,0.223,MNT
00:27:55,00:27:57,0.996,MNT
00:27:58,00:28:00,0.984,MNT
00:28:01,00:28:03,0.996,MNT
00:28:05,00:28:07,0.98,MNT
00:28:08,00:28:10,0.996,MNT
00:28:11,00:28:13,0.992,MNT
00:28:15,00:28:17,0.902,MNT
00:28:18,00:28:20,0.727,MNT
00:28:21,00:28:23,0.43,MNT
00:28:25,00:28:27,0.938,MNT
00:28:28,00:28:30,0.668,MNT
00:28:31,00:28:33,0.656,MNT
00:28:35,00:28:37,0.953,MNT
00:28:38,00:28:40,0.758,MNT
00:28:41,00:28:43,0.934,MNT
00:28:45,00:28:47,0.629,MNT
00:28:48,00:28:50,0.32,MNT
00:28:51,00:28:53,0.703,MNT
00:28:55,00:28:57,0.641,MNT
00:28:58,00:29:00,0.605,MNT
00:29:01,00:29:03,0.844,MNT
00:29:04,00:29:07,0.961,MNT
00:29:08,00:29:10,0.52,MNT
00:29:11,00:29:13,0.641,MNT
00:29:14,00:29:17,0.5,MNT
00:29:18,00:29:20,0.68,MNT
00:29:21,00:29:23,0.504,MNT
00:29:24,00:29:27,0.883,MNT
00:29:28,00:29:30,0.727,MNT
